url_path,views_total,views_unique
/vandan-revanur/pychemovality/tree/master/pychemovality,35,4
/vandan-revanur/pychemovality/blob/master/pychemovality/ovalitycalculations.py,21,3
/vandan-revanur/pychemovality,10,7
/vandan-revanur/pychemovality/tree/master/.github/workflows,7,2
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality,6,2
/vandan-revanur/pychemovality/blob/github-repo-stats/vandan-revanur/pychemovality/latest-report/report.pdf,4,2
/vandan-revanur/pychemovality/tree/github-repo-stats/vandan-revanur/pychemovality/latest-report,4,2
/vandan-revanur/pychemovality/blob/master/fortran_compilation_instructions.md,3,1
/vandan-revanur/pychemovality/tree/github-repo-stats,2,2
/vandan-revanur/pychemovality/blob/master/pychemovality/classes.py,2,1
